model_name,holdout_mae,holdout_rmse,holdout_r2,cv_mae_mean,cv_rmse_mean,cv_r2_mean,cv_r2_std,model,n_estimators,max_depth,min_samples_split,min_samples_leaf
ExtraTreesRegressor (Robust),240929.69066666672,253328.77467513457,0.09223339257659424,530810.0580920635,735346.2409772209,0.16466296138766867,0.32037643343244815,ExtraTreesRegressor,300.0,10.0,5.0,2.0
RandomForestRegressor (Robust),371488.56399999995,501370.30342728546,-2.555677565332809,511116.5197333334,710464.9583773855,-0.09169158367706985,0.9336467355708767,RandomForestRegressor,300.0,10.0,5.0,2.0
LinearRegression,1693382.6473085,1787562.5054657967,-44.198875621635686,1347665.6873752677,2030047.160101849,-7.396464656201493,12.861875309861972,LinearRegression,,,,
